epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,123.817,0.45882,0.49759,0.89145,0.9945,1,0.995,0.95222,0.34966,0.39153,0.65227,0.000957358,0.000957358,0.000957358
45,125.861,0.49275,0.5197,0.8983,0.99322,1,0.995,0.92478,0.35464,0.39054,0.65515,0.000940855,0.000940855,0.000940855
46,128.011,0.44253,0.50182,0.89409,0.99067,1,0.995,0.91465,0.34551,0.40094,0.66351,0.000924352,0.000924352,0.000924352
47,130.346,0.43999,0.50397,0.90165,0.99135,1,0.995,0.91042,0.39133,0.41252,0.67142,0.000907848,0.000907848,0.000907848
48,133.726,0.44311,0.48022,0.8803,0.99434,1,0.995,0.9042,0.44859,0.43383,0.68162,0.000891345,0.000891345,0.000891345
49,137.3,0.40535,0.47506,0.89611,0.99364,1,0.995,0.90969,0.41564,0.42096,0.67881,0.000874842,0.000874842,0.000874842
50,139.435,0.45616,0.50316,0.89387,0.99454,1,0.995,0.90367,0.43033,0.40664,0.6755,0.000858338,0.000858338,0.000858338
51,141.505,0.43704,0.47452,0.88895,0.99539,1,0.995,0.90624,0.4443,0.40173,0.68638,0.000841835,0.000841835,0.000841835
52,143.521,0.43085,0.48126,0.88858,0.99258,1,0.995,0.89512,0.42367,0.40396,0.66366,0.000825332,0.000825332,0.000825332
53,145.631,0.43646,0.48144,0.89418,0.99522,1,0.995,0.8907,0.48846,0.41332,0.65825,0.000808828,0.000808828,0.000808828
54,148.094,0.44528,0.47651,0.87706,0.9956,1,0.995,0.88386,0.49415,0.39761,0.66218,0.000792325,0.000792325,0.000792325
55,151.491,0.40304,0.43889,0.89192,0.99524,1,0.995,0.8999,0.43954,0.38736,0.67476,0.000775822,0.000775822,0.000775822
56,154.905,0.42232,0.46508,0.8833,0.99511,1,0.995,0.89255,0.46023,0.38549,0.67309,0.000759318,0.000759318,0.000759318
57,156.939,0.39986,0.44386,0.8945,0.99527,1,0.995,0.90362,0.44643,0.37877,0.66827,0.000742815,0.000742815,0.000742815
58,159.032,0.40564,0.44762,0.87517,0.99605,1,0.995,0.92874,0.39545,0.35583,0.65657,0.000726312,0.000726312,0.000726312
59,160.948,0.41628,0.46,0.87873,0.99668,1,0.995,0.93825,0.36572,0.34521,0.64958,0.000709809,0.000709809,0.000709809
60,163.305,0.41432,0.45384,0.88379,0.99598,1,0.995,0.9117,0.43025,0.3554,0.6474,0.000693305,0.000693305,0.000693305
61,165.883,0.42459,0.47037,0.89263,0.99541,1,0.995,0.93983,0.35078,0.33233,0.64394,0.000676802,0.000676802,0.000676802
62,169.471,0.40728,0.44903,0.88685,0.99585,1,0.995,0.94504,0.33159,0.34033,0.64939,0.000660299,0.000660299,0.000660299
63,172.422,0.40915,0.44304,0.88121,0.99685,1,0.995,0.94018,0.37025,0.37314,0.65914,0.000643795,0.000643795,0.000643795
64,174.551,0.41206,0.44668,0.8827,0.99578,1,0.995,0.87559,0.5314,0.40676,0.65867,0.000627292,0.000627292,0.000627292
